iter	Passed	Remaining
0	0	861
1	1	725
2	1	655
3	2	645
4	3	639
5	3	616
6	4	611
7	4	602
8	5	609
9	6	607
10	6	606
11	7	600
12	7	597
13	8	592
14	9	591
15	9	594
16	10	598
17	10	596
18	11	591
19	12	591
20	12	591
21	13	593
22	13	589
23	14	589
24	15	591
25	15	593
26	16	591
27	17	593
28	17	593
29	18	593
30	18	592
31	19	590
32	20	589
33	20	589
34	21	589
35	22	589
36	22	587
37	23	584
38	23	582
39	24	582
40	24	581
41	25	580
42	26	579
43	26	577
44	27	577
45	27	580
46	28	579
47	29	578
48	29	575
49	30	575
50	30	573
51	31	572
52	31	570
53	32	569
54	33	568
55	33	569
56	34	568
57	34	566
58	35	565
59	36	564
60	36	564
61	37	565
62	38	565
63	38	564
64	39	563
65	39	562
66	40	562
67	41	562
68	41	562
69	42	561
70	42	559
71	43	558
72	43	557
73	44	556
74	45	555
75	45	555
76	46	555
77	46	555
78	47	553
79	47	551
80	48	550
81	49	548
82	49	545
83	50	545
84	50	544
85	51	543
86	51	543
87	52	544
88	53	544
89	53	544
90	54	543
91	54	542
92	55	541
93	56	540
94	56	540
95	57	539
96	57	537
97	58	537
98	58	536
99	59	536
100	60	536
101	60	535
102	61	535
103	62	535
104	62	535
105	63	533
106	63	532
107	64	532
108	65	532
109	65	531
110	66	530
111	66	530
112	67	529
113	68	528
114	68	528
115	69	527
116	69	526
117	70	525
118	70	524
119	71	524
120	72	524
121	72	522
122	73	522
123	73	521
124	74	520
125	75	520
126	75	518
127	75	517
128	76	517
129	77	516
130	77	515
131	78	515
132	78	514
133	79	514
134	80	513
135	80	512
136	81	511
137	81	511
138	82	510
139	82	509
140	83	509
141	84	508
142	84	507
143	85	506
144	85	506
145	86	506
146	87	505
147	87	505
148	88	505
149	89	505
150	89	504
151	90	504
152	90	503
153	91	503
154	92	502
155	92	502
156	93	501
157	94	501
158	94	500
159	95	500
160	95	499
161	96	498
162	96	498
163	97	497
164	98	497
165	98	497
166	99	496
167	100	495
168	100	495
169	101	494
170	101	493
171	102	492
172	102	492
173	103	491
174	104	491
175	104	490
176	105	489
177	105	488
178	106	488
179	107	488
180	107	487
181	108	487
182	108	486
183	109	485
184	110	485
185	110	484
186	111	483
187	111	482
188	112	482
189	113	482
190	113	481
191	114	482
192	115	483
193	116	482
194	116	482
195	117	481
196	118	481
197	118	480
198	119	479
199	119	479
200	120	478
201	120	477
202	121	476
203	122	476
204	122	475
205	123	475
206	123	474
207	124	474
208	125	473
209	125	473
210	126	472
211	126	471
212	127	471
213	128	471
214	128	470
215	129	470
216	130	469
217	130	469
218	131	469
219	132	468
220	133	469
221	133	468
222	134	468
223	135	467
224	135	467
225	136	466
226	136	465
227	137	464
228	137	464
229	138	463
230	139	462
231	139	462
232	140	462
233	141	461
234	141	461
235	142	460
236	142	459
237	143	459
238	144	458
239	144	457
240	145	457
241	145	456
242	146	455
243	146	455
244	147	454
245	148	454
246	148	453
247	149	454
248	150	454
249	151	453
250	151	452
251	152	452
252	153	451
253	153	451
254	154	450
255	154	449
256	155	449
257	155	448
258	156	447
259	157	447
260	157	446
261	158	445
262	158	445
263	159	444
264	160	444
265	160	443
266	161	442
267	161	441
268	162	441
269	162	440
270	163	439
271	164	439
272	164	438
273	165	437
274	165	437
275	166	436
276	167	436
277	167	435
278	168	434
279	168	434
280	169	433
281	169	432
282	170	431
